DrugBank,B3DB
Pentamidine,pentamidine
Etodolac,etodolac
Hetacillin,hetacillin
Epinastine,epinastine
Isoflurane,isoflurane
Tretinoin,tretinoin
Ethotoin,ethotoin
Hydrocortisone,hydrocortisone
Zileuton,zileuton
Tranylcypromine,tranylcypromine
Carbinoxamine,carbinoxamine
Clopidogrel,clopidogrel bisulfate
Benzquinamide,benzquinamide
Methimazole,methimazole
Etoposide,33419-42-0
Hydrocortamate,hydrocortamate
Olopatadine,olopatadine
Nalidixic acid,nalidixicacid
Phenelzine,phenelzine
Oxcarbazepine,oxcarbazepine
Propiomazine,propiomazine
Propantheline,propantheline
Malathion,malathion
Acyclovir,aciclovir
Marimastat,marimastat
Perindopril,82978-68-5
Primidone,primidone
Naproxen,23981-80-8
Uracil mustard,uramustine
Alfentanil,trimethoprim
Halazepam,halazepam
Tripelennamine,tripelennamine
Minaprine,minaprine
Candesartan cilexetil,candesartan cilexetil
Haloprogin,haloprogin
Tolazoline,tolazoline
Tazarotene,tazarotene
Ribavirin,ribavirin
Phenylbutazone,phenylbutazone
Biperiden,biperiden
Fenoldopam,fenoldopam
Fentanyl,fentanyl
Indapamide,indapamide
Propofol,"propofol, diprivan"
Acetazolamide,acetazolamide
Tropicamide,tropicamide
Tadalafil,ac1nfq3w
Pentoxifylline,pentoxifylline
Orciprenaline,metaproterenol
Rosoxacin,rosoxacin
Ethynodiol diacetate,"(17-acetyloxy-17-ethynyl-13-methyl-2,3,6,7,8,9,10,11,12,14,15,16-dodecahydro-1h-cyclopenta[a]phenanthren-3-yl) acetate"
Enprofylline,enprofylline
Diazepam,diazepam
Levomenthol,menthol
Phenmetrazine,phenmetrazine
Trifluoperazine,117-89-5
Phensuximide,phensuximide
Loperamide,loperamide(1+)
Cinoxacin,cinoxacin
Tolazamide,tolazamide
Mifepristone,mifepristone
Oxazepam,604-75-1
Cefaclor,cefaclor
Donepezil,donepezil
Brompheniramine,brompheniramine
Clocortolone,schembl13026145
Nalbuphine,nalbuphine
Methylphenobarbital,mephobarbital(methylphenobarbital)
Perphenazine,perphenazine
Temozolomide,temozolomide
Levorphanol,dl-morphan
Flurandrenolide,"12-fluoro-5-hydroxy-6b-(hydroxyacetyl)-4a,6a,8,8-tetramethyl-3,4,4a,4b,5,6,6a,6b,9a,10,10a,10b,11,12-tetradecahydro-2h-naphtho[2',1':4,5]indeno[1,2-d][1,3]dioxol-2-one"
Terbinafine,terbinafine
Pseudoephedrine,ephedrine
Ranitidine,ranitidine base
Chlorphenesin,chlorphenesin
Alprenolol,alprenolol
Benzphetamine,benzphetamine(benzfetamine)
Drostanolone,2.alpha.-methyldihydrotestosterone
Terbutaline,terbutaline sulfate
Ritodrine,ritodrine hydrochloride
Loteprednol etabonate,loteprednol etabonate
Dorzolamide,dorzolamide
Flupentixol,flupentixol
Chlorothiazide,chlorothiazide sodium
Conivaptan,conivaptan
Eprosartan,eprosartan
Emtricitabine,racivir
Isosorbide dinitrate,isosorbide dinitrate
Risedronic acid,risedronate
Pemirolast,pemirolast
Mechlorethamine,mechlorethamine
Ethanol,ethanol
Sulfapyridine,sulfapyridine
Triazolam,28911-01-5
Rimexolone,rimexolone
Bumetanide,bumetanide
Remifentanil,remifentanil
Etacrynic acid,etacrynicacid
Testolactone,testolactone
Oxybuprocaine,oxybuprocaine
Ondansetron,ondansetron
Quinidine,quinidine (quinine)
Cocaine,cocaine
Zonisamide,zonisamide
Methdilazine,methdilazine
Tiagabine,109857-64-9
Anileridine,anileridine
Paricalcitol,paricalcitol
Amantadine,ornidazole
Repaglinide,2-ethoxy-4-[2-[[3-methyl-1-(2-piperidin-1-ylphenyl)butyl]amino]-2-oxoethyl]benzoic acid
Almotriptan,almotriptan
Buprenorphine,buprenorphine
Cyclobenzaprine,cyclobenzaprine
Spectinomycin,spectinomicina
Phenoxybenzamine,phenoxybenzamine
Levosimendan,levosimendan
Ketotifen,ketotifen
Maprotiline,maprotiline
Ceforanide,ceforanide
Salicylic acid,salicylic acid (2-hydroxybenzoic acid)
Etretinate,etretinate
Misoprostol,misoprostol
Azacitidine,"azacytidine, 5-"
Tipranavir,174484-81-2
Methantheline,methantheline
Zalcitabine,nsc606170
Acetylsalicylic acid,50-78-2
Oxymetazoline,oxymetazoline
Felbamate,felbamate
Fexofenadine,fexofenadine (allegra)
Hexafluronium,hexafluronium
Naratriptan,naratriptan
Phenprocoumon,phenprocoumon
Mezlocillin,mezlocillin
Pindolol,pindolol
Netilmicin,"4-amino-3-{[3-amino-6-(aminomethyl)-3,4-dihydro-2h-pyran-2-yl]oxy}-6-(ethylamino)-2-hydroxycyclohexyl 3-deoxy-4-c-methyl-3-(methylamino)pentopyranoside"
Rizatriptan,rizatriptan
Hydrocodone,hydrocodone
Zaleplon,zaleplon
Methylprednisolone,protriptyline
Methyldopa,3-hydroxy-alpha-methyl-dl-tyrosine
Bromfenac,bromfenac
Dipyridamole,dipyridamole
Desloratadine,desloratadine
Telmisartan,telmisartan
Alosetron,alosetron
Ezetimibe,1-(4-fluorophenyl)-3-(3-(4-fluorophenyl)-3-hydroxypropyl)-4-(4-hydroxyphenyl)azetidin-2-one
Isotretinoin,isotretinoin (13-cis-retinoic acid)
Physostigmine,"1,3a,8-trimethyl-1,2,3,3a,8,8a-hexahydropyrrolo[2,3-b]indol-5-yl methylcarbamate"
Edetic acid,edta
Ethinylestradiol,ethinyl estradiol
Glycopyrronium,glycopyrrolate
Rivastigmine,105601-20-5
Cyclopentolate,cyclopentolate
Ramelteon,ramelteon
Cytarabine,cytarabin
Formoterol,formoterol
Nandrolone phenpropionate,nandrobolic
Doxorubicin,nsc169534
Exemestane,exemestane
Salbutamol,salbutamol 
Methyl aminolevulinate,methyl aminolevulinate
Azathioprine,azathioprine
Cyclacillin,mls002694856
Frovatriptan,frovatriptan racemate
Tioconazole,tz-3
Levobupivacaine,bupivacaine
Cromoglicic acid,cromoglicicacid
Edrophonium,edrophoniumchloride
Glyburide,glibenclamide
Letrozole,letrozole
Bethanechol,gr94839_f
Metyrapone,metyrapone
Clobetasol propionate,clobetasol-propionate
Trichlormethiazide,trichlormethiazide
Felodipine,felodipine
Methoxyflurane,methoxyflurane
Isosorbide mononitrate,isosorbide mononitrate
Ketoconazole,cefazolin
Probenecid,probenecid
Mercaptopurine,6-mercaptopurine
Mycophenolic acid,mycophenolic acid
Amlexanox,amlexanox
Carphenazine,carphenazine
Selegiline,selegiline
Irbesartan,irbesartan
Thalidomide,thalidomide
Melphalan,melphalan
Procainamide,procainamide
Cerulenin,nsc116069
Memantine,memantine
Ibuprofen,ibuprofen 
Fenofibrate,fenofibrate
Benzylpenicillin,penicillin
Fluocinonide,fluocinonide
Gatifloxacin,gatifloxacin
Tocainide,tocainide
Novobiocin,novobiocin
Lubiprostone,lubiprostone
Amoxicillin,26787-78-0 (anhydrous)
Echothiophate,echothiophate
Acetophenazine,acetophenazine
Isoprenaline,isoproterenol hydrochloride
Azlocillin,mls006011456
Promethazine,promethazine
Clonazepam,clonazepam
Oxybutynin,oxybutynin
Dihydrotachysterol,dihydrotachysterol
Diphenhydramine,diphenhydramine
Glipizide,glipizide
Perhexiline,perhexiline
Benzocaine,ethyl 4-aminobenzoate (benzocaine)
Streptomycin,streptomycin a
Etidronic acid,etidronic acid
Atorvastatin,atorvastatin
Emedastine,emedastine
Pilocarpine,pilocarpine
Pentolinium,pentolinium
Ouabain,mls002702983
Hesperetin,hesperetin
Oxamniquine,oxamniquine
Fluvastatin,chebi:38562
Pimozide,maprotiline
Sertraline,79559-97-0
Leflunomide,leflunomide
Sibutramine,sibutramine
Rosuvastatin,rosuvastatin
Methyprylon,methyprylon
Capecitabine,"pentyl [1-(3,4-dihydroxy-5-methyl-oxolan-2-yl)-5-fluoro-2-oxo-pyrimidin-4-yl]aminoformate"
Quinacrine,quinacrine
Chlorpheniramine,chlorpheniramine
Amiodarone,amiodarone
Trilostane,modrastane
Phenacemide,phenacemide
Trimethaphan,trimethaphan
Econazole,econazole
Gliclazide,gliclazide
Anisindione,anisindione
Dutasteride,dutasteride
Proflavine,proflavine
Bicalutamide,bicalutamide
Prednicarbate,73771-04-7
Pioglitazone,pioglitazone
Tiludronic acid,tiludronate disodium
Doxepin,doxepin
Carvedilol,carvedilol
Cefapirin,cephapirin (cefapirin)
Cefadroxil,cefadroxil
Diclofenamide,dichlorphenamide
Nefazodone,nefazodone
Desipramine,2qju
Sulfoxone,sulfoxone
Diphenylpyraline,diphenylpyraline
Cloxacillin,ampicillin
Thiamylal,thiamylal
Bupropion,bupropion (zyban)
Flavoxate,flavoxate
Halothane,halothane
Bretylium,bretylium
Ofloxacin,ofloxacin
Sertaconazole,sertaconazole
Itraconazole,itraconazole
Terazosin,terazosin
Cilostazol,cilostazol
Guanethidine,guanethidinesulfate
Phenobarbital,phenobarbital
Escitalopram,citalopram
Moclobemide,teflurane
Kanamycin,"(2r,3s,4s,5r,6r)-2-(aminomethyl)-6-[(1r,2r,3s,4r,6s)-4,6-diamino-3-[(2s,3r,4s,5s,6r)-4-amino-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-hydroxycyclohexyl]oxyoxane-3,4,5-triol"
Chlormezanone,chlormezanone
Propafenone,propafenone
Domperidone,domperidone
Idarubicin,nsc256439
Pergolide,66104-22-1
Cyclizine,cyclizine
Podofilox,4354-76-1
Ifosfamide,ifosfamide
Desflurane,desflurane (suprane)
Rescinnamine,recinnamine
Naloxone,"(4r,4as,7ar,12bs)-4a,9-dihydroxy-3-prop-2-enyl-2,4,5,6,7a,13-hexahydro-1h-4,12-methanobenzofuro[3,2-e]isoquinoline-7-one"
Acebutolol,acebutolol
Fluoxymesterone,"9-fluoro-11,17-dihydroxy-10,13,17-trimethyl-1,2,6,7,8,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-3-one"
Oxymorphone,oxymorphone
Ciclopirox,ciclopirox
Iophendylate,ethyl 10-(2-iodophenyl)undecanoate
Clindamycin,clindamycin
Bromocriptine,bromocriptine
Dexfenfluramine,fenfluramine
Nadolol,anabet
Captopril,1-(2-methyl-3-sulfanylpropanoyl)pyrrolidine-2-carboxylic acid
Levetiracetam,etiracetam
Flumazenil,78755-81-4
Flecainide,flecainide acetate
Brinzolamide,chembl6750
Estramustine,estramustine
Dezocine,dezocine
Lomustine,lomustine
Tubocurarine,tubocurarine
Sparfloxacin,sb204484
Mitoxantrone,mitoxantrone
Estazolam,estazolam
Fomepizole,fomepizole
Ketamine,ketamine
Finasteride,finasteride
Quetiapine,quetiapine
Levacetylmethadol,levacetylmethadol
Halofantrine,halofantrine hydrochloride
Metoclopramide,metoclopramide
Levodopa,levodopa
Sevoflurane,sevoflurane
Anastrozole,anastrozole
Dantrolene,dantrolene
Bromodiphenhydramine,bromodiphenhydramine
Chlorprothixene,chlorprothixene
Aripiprazole,"aripiprazole, abilify"
Clomipramine,clomipramine
Dexamethasone,dexamethasone
Bepridil,bepridil
Alimemazine,alimemazine
Isocarboxazid,isocarboxazid
Decamethonium,decamethonium
Chloroxine,chloroxine
Gemfibrozil,gemfibrozil
Mitiglinide,mitiglinide
Dasatinib,dasatinib
Gliquidone,gliquidone
Desonide,desonide
Paliperidone,paliperidone
Lisdexamfetamine,lisdexamfetamine
Sitagliptin,sitagliptin
Lapatinib,lapatinib
Decitabine,decitabine
Darunavir,darunavir
Telbivudine,telbivudine
Fenoterol,fenoterol
Arformoterol,formoterol
Sunitinib,sunitinib
Varenicline,varenicline
Practolol,practolol
Glisoxepide,glisoxepide
Bevantolol,bevantolol
Glucosamine,d-2-galactosamine
Fosphenytoin,fosphenytoin
Polythiazide,polythiazide
Sulfacytine,sulfacytine
Fosamprenavir,schembl10264224
Sulfadoxine,sulfadoxine
Quinethazone,quinethazone
Cefamandole,7-[(2-hydroxy-2-phenylacetyl)amino]-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid
Cefazolin,cefazolin
Cefoperazone,cefoperazone impurity f
Cefoxitin,schembl7766649
Cefonicid,va10527
Vecuronium,"3,17-bis(acetyloxy)-16-(1-methylpiperidinium-1-yl)-2-(piperidin-1-yl)androstane"
Pipecuronium,pipecuronium
Metocurine,ncgc00181151-01
Pancuronium,bdbm86425
Amobarbital,amobarbital
Butobarbital,5-butyl-5-ethyl barbituric acid (butethal)
Aprobarbital,aprobarbital
Forasartan,forasartan
Hexobarbital,56-29-1
Heptabarbital,heptabarb
Saprisartan,saprisartan
Spirapril,spirapril
Ephedrine,ephedrine
Mestranol,inostral
Iohexol,iohexol
Procaterol,procaterol
Rasagiline,1875-50-9
Colchicine,colchicine
Cortisone acetate,cortisone-acetate
Mibefradil,"2-methoxyacetic acid [2-[2-[3-(1h-benzimidazol-2-yl)propyl-methylamino]ethyl]-6-fluoro-1-propan-2-yl-3,4-dihydro-1h-naphthalen-2-yl] ester"
Bezafibrate,bezafibrate
Drospirenone,"5a,7a-dimethyl-1,1a,5,5a,5b,6,7,7a,8a,9,9a,9b,9c,9d-tetradecahydro-3'h-spiro[cyclopropa[4,5]cyclopenta[1,2-a]cyclopropa[l]phenanthrene-8,2'-furan]-3,5'(4h,4'h)-dione"
Temafloxacin,temafloxacin
Theobromine,"theobromine (3,7-dimethylxanthine)"
Methotrimeprazine,levopromazine
Danazol,mls003115428
Clenbuterol,clenbuterol
Ciclesonide,126544-47-6
Cefacetrile,cefacetrile
Bambuterol,bambuterol
Ceftibuten,ceftibuten
Antrafenine,antrafenine
Aminophenazone,aminophenazone
Paromomycin,catenulin
Acenocoumarol,acenocumarol
Stepronin,stepronin
Ajmaline,ajmaline
Methadyl acetate,levacetylmethadol
Antipyrine,antipyrine ok
Amrinone,amrinone
Glutethimide,piperacillin
Allylestrenol,mcule-5010058438
Bufotenine,bufotenine
gamma-Hydroxybutyric acid,gamma hydroxybutyric acid
Diamorphine,diamorphine
Acetorphine,acetorphine
Betaprodine,alphaprodine (betaprodine)
Bolasterone,calusteron
Haloxazolam,haloxazolam
Fenethylline,fenethylline
Barbital,barbital
Cyprenorphine,cyprenorphine
Embutramide,embutramide
Camazepam,camazepam
Dipipanone,dipipanone
Ethylestrenol,ethylnandrol
Etorphine,etorphine
Alphamethadol,betamethadol
Alphameprodine,betameprodine
Difenoxin,difenoxin
Delorazepam,delorazepam
Hydromorphinol,hydromorphinol
Betacetylmethadol,levacetylmethadol
Dextromoramide,dextromoramide (levomoramide and racemoramide)
Desomorphine,desomorphine
Chlorhexadol,chloralodol
Carfentanil,carfentanil
Flunitrazepam,1622-62-4
Ethyl loflazepate,ethyl-loflazepate
Etryptamine,etryptamine
Drotebanol,drotebanol
Diprenorphine,diprenorphine
Dihydrocodeine,"codeine, dihydro-"
Alphacetylmethadol,levacetylmethadol
Cloxazolam,cloxazolam
Betameprodine,betameprodine
Clotiazepam,clotiazepam
Bromazepam,bromazepam
Cathinone,cathinone
Chloral hydrate,chloralhydrate
Dihydromorphine,paramorfan
Fludiazepam,fludiazepam
Calusterone,calusteron
Dextroamphetamine,amphetamine
Metamfetamine,methamphetamine (pervertin)
Oxprenolol,oxprenolol
Ketazolam,ketazolam
Phendimetrazine,phendimetrazine
Quazepam,quazepam
Prazepam,prazepam
Cinolazepam,cinolazepam
Nitrazepam,nitrazepam
Ursodeoxycholic acid,"3,7-dihydroxycholan-24-oic acid"
Sulfamerazine,sulfamerazine
Solifenacin,180272-14-4
Tiaprofenic acid,tiaprofenic
Probucol,probucol
Bacampicillin,bacampicillin hydrochloride
Meticillin,methcillin
Pivampicillin,pivampicillin
Periciazine,pericyazine
Tazobactam,tazobactam
Acepromazine,acepromazine
Aceprometazine,aceprometazine
Molindone,molindone
Hydroxychloroquine,hydroxychloroquine
Erythrityl tetranitrate,erythrityl
Amyl Nitrite,pentyl nitrite
Pipotiazine,pipotiazine
Thioproperazine,thioproperazine
Pargyline,pargyline
Zuclopenthixol,clopenthixol/zuclopenthixol
Thiothixene,thiothixene (tiotixene)
Phenindamine,phenindamine
Lincomycin,lincomycine
Isopropamide,isopropamide iodide
Etoricoxib,etoricoxib
Sorbitol,mannitol (d-mannitol)
Roflumilast,roflumilast
Virginiamycin M1,virginiamycin-factor-m1
Propyl acetate,propyl acetate 
Camphor,camphor
D-Leucine,leucine
Dalfopristin,dalfopristin
D-Alanine,dl-alanine
Pantothenic acid,dl-pantothenic acid
D-Galctopyranosyl-1-On,gluconolactone
"5,7-Dichlorokynurenic acid",dcka
Rolipram,rolipram
Alrestatin,alrestatin
Epicaptopril,1-(2-methyl-3-sulfanylpropanoyl)pyrrolidine-2-carboxylic acid
Cytidine,cytarabin
Butyl alcohol,1-butanol
Flufenamic acid,flufenamic
Isoamyl alcohol,3-methyl-1-butanol (isopentanol)
Isopropyl alcohol,2-propanol (isopropanol)
Aminobenzoic acid,4-aminobenzoic acid
D-Glutamic Acid,glutamic acid
(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium,levocarnitine
beta-D-Galactosamine,d-2-galactosamine
Nicotinamide,nicotinamide
Sorbinil,sorbinil
Uridine,58-96-8
Piretanide,piretanide
(R)-Bicalutamide,bicalutamide
Fosmidomycin,fosmidomycin
Bromoform,bromoform
D-Lactic acid,lactic acid
Propyl alcohol,propan-1-ol
Beta-L-Arabinose,pentopyranose
Phenol,phenol
Cephalosporin C,chembl1624196
Dexpropranolol,upcmld-dp067
alpha-D-Xylopyranose,pentopyranose
Alvocidib,flavopiridol
Brequinar,brequinar
Isopenicillin N,adicillin
Phencyclidine,phencyclidine
Oxyphenbutazone,oxyphenbutazone
(S)-Rolipram,rolipram
Piritrexim,piritrexim
Ethylene Dichloride,"1,2-dichloroethane"
Tromethamine,trometamol
N-Propargyl-1(S)-Aminoindan,1875-50-9
tert-butanol,tert-butylalcohol
Urea,urea
L-Xylopyranose,pentopyranose
Clorgiline,clorgiline
(R)-Rolipram,rolipram
Nicotinyl alcohol,nicotinyl alcohol
Valpromide,valpromide
Aceglutamide,aceglutamide
beta-D-Ribopyranose,pentopyranose
7-(2-Amino-2-Phenyl-Acetylamino)-3-Chloro-8-Oxo-1-Aza-Bicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid,loracarbef
7-((Carboxy(4-Hydroxyphenyl)Acetyl)Amino)-7-Methoxy-(3-((1-Methyl-1h-Tetrazol-5-Yl)Thio)Methyl)-8-Oxo-5-Oxa-1-Azabicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid,moxalactam
Carbocisteine,loviscol
Arecoline,arecoline
Lactic acid,lactic acid
Thymidine,telbivudine
Niflumic acid,niflumic acid
Gluconolactone,gluconolactone
Trioxsalen,trioxsalen
Fleroxacin,fleroxacin
Estriol,estriol
Estrone sulfate,estropipate
Quinestrol,"(8r,9s,13s,14s,17r)-3-cyclopentyloxy-17-ethynyl-13-methyl-7,8,9,11,12,14,15,16-octahydro-6h-cyclopenta[a]phenanthren-17-ol"
Aniracetam,aniracetam
Apramycin,37321-09-8
Aldosterone,urea
"5-[(3AS,4R,6AR)-2-OXOHEXAHYDRO-1H-THIENO[3,4-D]IMIDAZOL-4-YL]PENTANOIC ACID",bioepiderm
Metoprine,metoprine
Corticosterone,corticosterone
Camptothecin,candesartan
Gentamicin C1a,gentamicinc1a
Nimesulide,nimesulide
Bifonazole,bifonazole
Clioquinol,clioquinol
Neamine,"5-amino-2-(aminomethyl)-6-(4,6-diamino-2,3-dihydroxycyclohexyl)oxyoxane-3,4-diol"
Benoxaprofen,benoxaprofen
Iproniazid,iproniazid
Bithionol,bithionol
Methapyrilene,methapyrilene
Nomifensine,nomifensine
Nialamide,nialamide
Metamizole,dipyrone
Urethane,urethane
Phenolphthalein,phenolphthalein
Tienilic acid,ticrynafen
Zimelidine,zimeldine
Methaqualone,morphine
Amineptine,survector
Mepenzolate,mepenzolatebromide
Fluspirilene,fluspirilene
Cyclandelate,cyclandelate
Tetrabenazine,tetrabenazine (tetrabenzine)
Cyproterone acetate,cyproterone
Flunarizine,flunarizine
Debrisoquine,debrisoquine
Ixabepilone,schembl3670439
Febuxostat,febuxostat
Zanapezil,zanapezil
Nebivolol,nebivolol
Nilotinib,nilotinib
Vatalanib,"ptk-787, vatalanib"
Elacridar,elacridar
Voglibose,voglibose
Vildagliptin,vildagliptin
Enoximone,enoximone
Dapoxetine,119356-76-2
Phenserine,acmc-20dhn6
Bepotastine,4-(4-((4-chlorophenyl)(pyridin-2-yl)methoxy)piperidin-1-yl)butanoic acid
Pagoclone,pagoclone
Milnacipran,milnacipran
Clevidipine,clevidipine
Iloperidone,iloperidone
Permethrin,permethrin
Tamibarotene,tamibarotene
Ezogabine,ezogabine
Lofexidine,lofexidine
Pirfenidone,pirfenidone
Lesopitron,lesopitron
Lucanthone,lucanthone
Indacaterol,"(r)-5-(2-(5,6-diethyl-2,3-dihydro-1h-inden-2-ylamino)-1-hydroxyethyl)-8-hydroxyquinolin-2(1h)-one"
Ganaxolone,ganaxolone
Asimadoline,schembl8717354
Lobeline,lobeline
Methsuximide,methsuximide(mesuximide)
Ibudilast,ibudilast
Tarenflurbil,flurbiprofen
Ecabet,ecabet
Rotigotine,ent-rotigotine
Histamine,histamine phosphate
CP-122721,145877-52-7
Levoketoconazole,cefazolin
Perflubron,perflubron
SNS-032,sns-032
Sertindole,sertindole
Mianserin,24219-97-4
Nylidrin,nylidrin
Pizotifen,pizotifen
Sulfathiazole,sulfathiazole
Sulfadimethoxine,sulfadimethoxine
Acetylcysteine,acetylcysteine
Pentaerythritol tetranitrate,pentaerythritol tetranitrate
Rimonabant,rimonabant
Noscapine,noscapine
Seliciclib,roscovitine
Alovudine,alovudine 
Rufinamide,rufinamide
Alogliptin,1108732-05-3
Tapentadol,3-(1-(dimethylamino)-2-methylpentan-3-yl)phenol
Silodosin,silodosin
Asenapine,org-5222
Prasugrel,prasugrel
Ocaperidone,ocaperidone
Nalmefene,nalmefene
Tolvaptan,tolvaptan
Vernakalant,schembl2624888
Rivaroxaban,rivaroxaban
Regadenoson,regadenoson
Avanafil,avanafil
Amrubicin,110267-81-7
Sitaxentan,sitaxentan
Amisulpride,amisulpride
Dapagliflozin,chembl2139953
Saxagliptin,saxagliptin
Xaliproden,xaliproden
Bazedoxifene,bazedoxifene
Declopramide,declopramide
Ticalopride,ticalopride
Etravirine,etravirine
Talnetant,nalorphine
Semaxanib,semaxanib
Remacemide,remacemide
Clomethiazole,clomethiazole
Prucalopride,prucalopride
Levovirin,ribavirin
Tramiprosate,"tramiprosate, alzhemed"
Ocinaplon,ocinaplon
Robalzotan,robalzotan
Apixaban,apixaban
Tafenoquine,tafenoquine
Bosutinib,bosutinib
Flupirtine,flupirtine
Casopitant,414910-27-3
Axitinib,axitinib
Dalfampridine,4-aminopyridine
Arverapamil,norverapamil
Esmirtazapine,mirtazapine
Clevudine,clevudine
Mepyramine,mepyramine (pyrilamine)
Betahistine,betahistine (y-g 14)
Vilazodone,vilazodone
Dexmethylphenidate,methylphenidate
Mevastatin,mls002702124
Arbekacin,arbekacin
Xylometazoline,xylometazoline
Artemether,71963-77-4
Desvenlafaxine,desvenlafaxine
Fesoterodine,2-(3-(diisopropylamino)-1-phenylpropyl)-4-(hydroxymethyl)phenyl isobutyrate
Isometheptene,isometheptene
Methyltestosterone,methyltestosterone
Methacholine,methacholine
Propylhexedrine,101-40-6
Naphazoline,naphazoline
Bufuralol,bufuralol
Stanozolol,stanozolol
Lornoxicam,lornoxicam
Seproxetine,seproxetine
Sulfaphenazole,sulfaphenazole
Gestodene,smr000539419
Ketobemidone,ketobemidone
Enclomiphene,clomiphene
Aceclofenac,aceclofenac
Drotaverine,drotaverine
Benzyl alcohol,benzyl alcohol
Capsaicin,capsaicine
Besifloxacin,besifloxacin
Chenodeoxycholic acid,"3,7-dihydroxycholan-24-oic acid"
Halcinonide,halcinonide
Difluprednate,difluprednate
Dimercaprol,dimercaprol
Mebutamate,mebutamate
Levopropoxyphene,dextropropoxyphene
Hexocyclium,hexocyclium
Lodoxamide,lodoxamide
Mafenide,mafenide
Niclosamide,niclosamide
Pralatrexate,chembl306438
Plerixafor,plerixafor
Phenyl aminosalicylate,phenyl 4-aminosalicylate
Protokylol,protokylol hydrochloride
Phenylbutyric acid,4-phenylbutyric acid
Sulconazole,sulconazole
Sulfameter,sulfameter
Tiopronin,tiopronin
Triethylenetetramine,trientine hydrochloride
Bisphenol A,bisphenol a
(R)-Atenolol,atenolol 
Hymecromone,hymecromone
(S)-Indapamide,indapamide
Felbinac,felbinac
"1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE",donepezil
(S)-econazole,econazole
17alpha-Estriol,estriol
Epitestosterone,testosterone
"N~3~-cyclopropyl-N~4~'-(cyclopropylmethyl)-6-methylbiphenyl-3,4'-dicarboxamide",515134-70-0
Fasudil,fasudil
Sulthiame,sulthiame(sultiame)
Mardepodect,pf-2545920
(R)-Fluoxetine,fluoxetine
(S)-Fluoxetine,fluoxetine
Triclosan,triclosan
"6-CHLORO-3-(DICHLOROMETHYL)-3,4-DIHYDRO-2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE 1,1-DIOXIDE",trichlormethiazide
"4-{(1E)-3-OXO-3-[(2-PHENYLETHYL)AMINO]PROP-1-EN-1-YL}-1,2-PHENYLENE DIACETATE",y12
"4-{2-[(7-amino-2-furan-2-yl[1,2,4]triazolo[1,5-a][1,3,5]triazin-5-yl)amino]ethyl}phenol",17 zm0241385
Ethyl biscoumacetate,ethyl biscoumacetate
Azidocillin,ft-0770806
Diloxanide,diloxanide
Sulfamoxole,sulfamoxole
Tymazoline,tymazoline
Antazoline,antazoline
Nandrolone decanoate,nandrolone decanoate
Dimetindene,dimethindene
Roxatidine acetate,roxatidine acetate
Bopindolol,bopindolol
Dichloroacetic acid,dichloroacetate
Ticagrelor,ticagrelor
Ivacaftor,ivacaftor
Taurochenodeoxycholic acid,tauroursodeoxycholic acid
Tauroursodeoxycholic acid,tauroursodeoxycholic acid
Rilpivirine,rilpivirine
Crizotinib,crizotinib
Boceprevir,394730-60-0
Ruxolitinib,941688-05-7
Vemurafenib,vemurafenib
Linagliptin,"8-(3-aminopiperidin-1-yl)-7-(but-2-yn-1-yl)-3-methyl-1-((4-methylquinazolin-2-yl)methyl)-1h-purine-2,6(3h,7h)-dione"
Mirabegron,(s)-mirabegron
Regorafenib,regorafenib
Aclidinium,schembl72140
Ponatinib,ponatinib
Formestane,formestane
Trametinib,trametinib
Levomilnacipran,milnacipran
Perospirone,sm-9018 (free base)
Amperozide,amperozide
Chlorcyclizine,chlorcyclizine
Sofosbuvir,sofosbuvir
Isoxicam,brl52580
Isoxsuprine,isoxsuprine
Iopanoic acid,iopanoic acid
Indalpine,indalpine
Ifenprodil,ifenprodil
Hexoprenaline,hexoprenaline
Fursultiamine,fursultiamine
Fluprednidene,ft-0697029
Fominoben,fominoben
Flumequine,flumequine
Fluclorolone acetonide,flucloronide (fluclorolone-acetonide)
Floctafenine,floctafenine
Fenbufen,fenbufen
Etilefrine,etilefrine
Etozoline,etozoline
Etifoxine,etifoxine
Dimetacrine,dimetacrine
Demexiptiline,demexiptiline
Cyamemazine,cyamemazine
Diosmin,diosmin
Clocapramine,clocapramine
Chlorphenoxamine,chlorphenoxamine
Clobutinol,clobutinol
Clinofibrate,clinofibrate
Beclamide,beclamide
Captodiame,captodiame
Bromopride,bromopride
Brotizolam,brotizolam
Benzoctamine,benzoctamine
Cytisine,cytisine
Befunolol,befunolol
Benactyzine,benactyzine
Bisacodyl,bisacodyl
Benfluorex,benfluorex
Bromhexine,bromhexine
Acipimox,acipimox
Cefminox,75481-73-1
Tibolone,tibolone
